players,predicted_fantasy_points,form,dream_team_percentage
A Landage,0,3,37
R Suddahazai,114-172,146,100
K Kaur,0,3,0
P akankage,6-10,12,0
N Laguea,4-6,11,100
C Mahamalage,10-30,36,35
N Ekanayake,4-8,10,100
E Barataram,34-34,42,100
S Barton,3-11,18,100
R worth,0,0,0
Y balag,6-18,29,100
g batagoda,0,7,15
A warnakalusuriya,0,4,0
R reilly,0,-4,0
e ferray,5-13,4,0
c macnally,0,5,0
m rathnayke,9-17,10,15
n caruana,0,0,0
s toffoletto,0,4,0
n robenson,5-17,27,100
a valverde,5-5,10,0
p raghunath,0,2,0
