players,predicted_fantasy_points,form,dream_team_percentage
r danish ,14-46,50,60
p pupala,0,4,0
g singh,14-62,57,60
j mathai,9-43,60,80
v mohan,4-38,18,40
a kumar,1-25,27,40
j johny,0,0,0
n negi,34-74,58,100
s sukumar,28-68,50,80
a soman,25-65,39,80
d siddiqe,21-53,45,100
r pothula,0-9,13,40
g maithini,15-50,21,30
s joy,29-63,31,60
d negi,16-62,38,40
t thomas,8-36,17,40
s singh,15-47,44,80
s dobhal,7-29,16,40
j kunachi,5-17,15,20
v bisht ,20-44,12,30
b baby,8-30,8,0
p das,0-12,12,75
