players,predicted_fantasy_points,form,dream_team_percentage
B quadir,21-59,54,100
V Yadav,34-92,86,80
F Mughal,31-77,96,100
W Afridi,34-66,61,80
F Mahrose,20-44,16,60
Q Muhammad,45-89,72,100
M Ajmal,24-48,40,60
A Qadir,5-17,20,40
I Ameer,12-44,45,40
A Dileep,18-46,12,15
H Krishnan,6-14,16,20
N Khosla,11-27,25,60
Waqas Khan,22-48,24,60
A Arsad,1-13,9,40
U Ullah,11-39,52,100
M Silaiman,4-20,23,40
J Girima,2-10,9,20
W Alvi,0,0,0
H Saikh,0,0,0
S Paul,0,2,0
L Thomas,0,5,20
D Athwal,3-35,26,60
