players,predicted_fantasy_points,form,dream_team_percentage
n negi,34-74,58,100
a soman,25-65,39,80
s joy,29-63,31,60
a sharma,26-64,39,100
r danish,14-46,50,60
d negi,16-62,39,40
g singh,14-62,57,60
a sukumaran,28-68,50,80
a singh,8-28,16,20
p khad,16-48,11,20
t thomas,8-36,17,4
s singh,15-47,44,80
d siddiqe,21-53,45,100
r pothula,0-9,13,40
j kunnachi,5-17,15,20
s dobal,7-29,16,40
s joseph,0-8,9,20
a joshef,2-6,8,50
b baby,8-30,8,0
j mathai,9-43,60,80
g maithini,16-50,21,30
a kumar,1-25,27,40
